win_start	length	num_snp	num_missing num_indel	theta	pi
0	554	50	46	0.02445333899674126	0.011737261403483032
200	576	15	24	0.0070558071896847175	0.004699208920155158
400	600	7	0	0.0031610016209787533	0.0015019762845849803
600	600	3	0	0.0013547149804194658	0.0007905138339920949
800	600	3	0	0.0013547149804194658	0.0004347826086956522
1000	600	6	0	0.0027094299608389316	0.0011330698287220027
1200	578	11	22	0.005156354596752292	0.002948372553331867
1400	568	15	32	0.007155184755736614	0.005500348613644527
1600	538	24	62	0.012086676405229433	0.008403616055529034
1800	560	24	40	0.011611842689309705	0.006957754424538741
2000	570	21	30	0.009982110382038167	0.00445773614716172
2200	600	15	0	0.006773574902097329	0.0034914361001317524
2400	600	18	0	0.008128289882516794	0.004769433465085639
2600	590	21	10	0.00964373375891823	0.006176030472044619
2800	590	20	10	0.009184508341826885	0.00550945449598694
3000	584	16	16	0.00742309578312036	0.004453547030281371
3200	580	24	20	0.01121143432071282	0.006898071018463699
3400	573	28	27	0.013239797365356035	0.009765365782102417
3600	578	34	22	0.015937823299052536	0.011657905321996754
3800	592	25	8	0.011441849496786028	0.008088836467450308
4000	599	19	1	0.008594185184631	0.005227436441378034
4200	574	18	26	0.008496470260470516	0.007314049586776859
4400	566	21	34	0.010052655331734552	0.009403906883156806
4600	566	25	34	0.011967446823493514	0.009673569673569674
4800	585	25	15	0.01157876051640569	0.006479318918104423
5000	593	18	7	0.008224239341500971	0.0037457994983062766
5200	593	11	7	0.005025924042028372	0.0027998196270047986
5400	600	4	0	0.0018062866405592877	0.0014245390033503047
5600	600	7	0	0.0031610016209787533	0.0024769433465085637
5800	600	8	0	0.0036125732811185755	0.002160737812911726
6000	600	6	0	0.0027094299608389316	0.0017391304347826088
6200	600	3	0	0.0013547149804194658	0.0008168642951251647
6400	600	1	0	0.00045157166013982193	0.0002766798418972332
6600	600	9	0	0.004064144941258397	0.0019521975412863399
6800	590	12	10	0.005510705005096131	0.002653273950535393
7000	590	16	10	0.007347606673461508	0.003750338478202004
7200	580	14	20	0.0065400033537491445	0.005214424280780925
7400	590	14	10	0.006429155839278821	0.004998391938250429
7600	590	10	10	0.004592254170913443	0.00391237355128291
7800	600	6	0	0.0027094299608389316	0.0011198945981554676
8000	600	3	0	0.0013547149804194658	0.0004347826086956522
8200	600	3	0	0.0013547149804194658	0.0004347826086956522
8400	600	3	0	0.0013547149804194658	0.0004347826086956522
8600	600	5	0	0.0022578583006991094	0.0008563899868247694
8800	600	7	0	0.0031610016209787533	0.0017391304347826088
9000	600	8	0	0.0036125732811185755	0.0018840579710144927
9200	593	15	7	0.006853532784584144	0.004458862322613374
9400	593	23	7	0.010508750269695687	0.00722147184294636
9600	593	24	7	0.010965652455334629	0.007827762464206385
9800	595	19	5	0.008651961219485662	0.005801082868802176
10000	595	14	5	0.006375129319621015	0.003157803185902282
10200	576	16	24	0.007526194335663698	0.003997072566570962
10400	545	24	55	0.011931434689932909	0.007928982596555148
10600	545	25	55	0.012428577802013447	0.008314773570898293
10800	560	20	40	0.009676535574424754	0.006305750986602051
11000	585	13	15	0.0060209554685309585	0.0025742373568460523
11200	585	11	15	0.005094654627218503	0.0017769669943582987
11400	589	16	11	0.007360081387677912	0.002503070119516565
11600	598	33	2	0.014951703797271695	0.011029039765253466
11800	586	32	14	0.014795521970451503	0.0119638810637316
12000	586	30	14	0.013870801847298284	0.011798577007583324
12200	588	12	12	0.005529448899671288	0.003240510414005459
12400	585	15	15	0.006947256309843414	0.0039855195046858615
12600	561	14	39	0.00676150079353744	0.003881717606818198
12800	548	13	52	0.0064274798341069535	0.004000734360417974
13000	498	21	102	0.011425307063778626	0.005727059272030983
13200	522	29	78	0.015052388671327396	0.012947498425525302
13400	487	31	113	0.017246884760987038	0.014048410875304283
13600	518	30	82	0.01569167930987798	0.013966882649388048
13800	518	29	82	0.015168623332882047	0.009421588073453196
14000	541	26	59	0.013021290015122405	0.008658141100165209
14200	575	23	25	0.010837719843355726	0.007685122282608696
14400	564	19	36	0.009127512279421933	0.007609723696275278
14600	584	19	16	0.008814926242455426	0.0070019918287435165
14800	560	17	40	0.008225055238261041	0.006176516473074359
15000	552	23	48	0.011289291503495547	0.006292391926125684
15200	538	36	62	0.01813001460784415	0.01123794558954925
15400	562	36	38	0.017355779108576785	0.010752530115168931
15600	559	31	41	0.015025461321289244	0.011355885468820295
15800	577	19	23	0.008921866422173257	0.006362119315811431
16000	577	13	23	0.006104434920434334	0.0045528996973987395
16200	599	11	1	0.0049755808963653165	0.0021115561508970814
16400	600	9	0	0.004064144941258397	0.0018181818181818182
16600	600	9	0	0.004064144941258397	0.0015678524374176548
16800	600	13	0	0.005870431581817685	0.003227931488801054
17000	595	19	5	0.008651961219485662	0.004463569786710857
17200	594	21	6	0.009578792790844707	0.00576036866359447
17400	589	15	11	0.006900076300948043	0.003686336161331418
17600	589	9	11	0.004140045780568826	0.003597146533199507
17800	589	7	11	0.0032200356071090865	0.0023021311541620106
18000	594	4	6	0.0018245319601608964	0.0018365472910927456
18200	591	3	9	0.0013753451577862596	0.0008336134453781512
18400	592	6	8	0.002746043879228647	0.002165797881284681
18600	586	16	14	0.007397760985225751	0.005803325699762839
18800	594	18	6	0.008210393820724035	0.005858449712749134
19000	594	22	6	0.01003492578088493	0.007192326407636264
19200	588	28	12	0.012902047432566338	0.00911610115661406
19400	580	34	20	0.015882865287676493	0.010964959032411651
19600	578	31	22	0.01453154477266555	0.009480664714974607
19800	590	16	10	0.007347606673461508	0.004533622121923493
20000	598	8	2	0.003624655466005259	0.0023464248416989438
20200	600	4	0	0.0018062866405592877	0.0012384716732542819
20400	600	3	0	0.0013547149804194658	0.0005665349143610014
